Job Title,Position,Company,Job Type,Skill,Work Type,Industry Type,Seniority,City,Province,Min Salary,Max Salary
Data Analyst - Informatics And Systems,Data Analyst,Snaplii,Full-Time,"Tableau, Machine Learning, Sql, Database, Excel, Sas, Power Bi, Javascript, Spss",In-Person,Others,ANY,Mississauga,ON,36998.0,87695.0
C-Ge-916 – Data Analyst,Data Analyst,CAE,Full-Time,"Power BI, Confluence",In-Person,Others,ANY,Saint-Laurent,QC,99227.0,126329.0
Advanced Data Analyst - Frostbite,Data Analyst,Electronic Arts,Full-Time,"Sql, Aws, Databricks, Gap, Azure, Power Bi, Python",In-Person,Others,Senior,Vancouver,BC,107600.0,147100.0
"Analyst, Human Resources Analytics",Others Analyst,Ontario Health,Full-Time,Excel,In-Person,Healthcare,ANY,Toronto,ON,98504.0,105985.0
Technical Data Analyst,Data Analyst,CNOOC International,Full-Time,"Database, Excel, Power Bi, Python, R, Database",In-Person,Others,ANY,Calgary,AB,51017.0,93315.0
Data Analyst - Product,Data Analyst,Appcast,Full-Time,"Tableau, Machine Learning, Sql, Excel, Python",In-Person,Others,ANY,Fredericton,NB,45071.0,99672.0
Data Business Analyst,Business Analyst,"Bridgenext, Inc",Full-Time,"Azure, Sql, Python, Tableau, Excel, Databricks, Power Bi, Database",Remote,Technology,ANY,Remote,Undef,60540.0,140134.0
Data Management Analyst,Others Analyst,Leonardo DRS,Full-Time,Undef,In-Person,Others,ANY,Bedford,NS,61888.0,117634.0
Business Intelligence Analyst,Business Analyst,Autodesk,Full-Time,"Tableau, Sql, D3.Js, Power Bi, Python, R",In-Person,Others,ANY,Toronto,ON,42159.0,110128.0
Research Analyst,Research Analyst,Insurance Bureau of Canada,Full-Time,"Excel, Excel",In-Person,Insurance,ANY,Toronto,ON,66260.0,114581.0
Part-Time Data Quality Analyst (Fraud Investigation),IT Analyst,owl.co,Full-Time,Undef,Remote,Others,ANY,Toronto,ON,41600.0,100423.0
It Cost Business Analyst,IT Analyst,Ingersoll Rand,Full-Time,Excel,In-Person,Others,ANY,Barrie,ON,53612.0,98105.0
"Analyst, Business Intelligence",Business Analyst,Bell,Full-Time,"Sql, Confluence, Sas, Jira, Teradata",In-Person,Others,ANY,Toronto,ON,78889.0,95987.0
Senior Data Engineering Analyst,Data Engineer,Loblaw Companies Limited,Full-Time,"Sql, Python, Confluence, Excel, Java, Teradata, Jira",In-Person,Others,Senior,Brampton,ON,69991.0,112778.0
Principal Services Operations Analyst,Others Analyst,Dayforce,Full-Time,"Power Bi, Excel, Database",Remote,Others,Senior,Remote,Undef,83500.0,149300.0
Senior Systems Analyst,Systems Analyst,IG Wealth Management,Full-Time,Sql,In-Person,Others,Senior,Toronto,ON,79816.0,88661.0
Treasury Data Analyst,Data Analyst,GFL Environmental,Full-Time,"Sql, Database, Crystal, Excel",In-Person,Environment,ANY,Vaughan,ON,58240.0,146014.0
Business Intelligence Specialist,Business Analyst,Ramp Group,Full-Time,Undef,In-Person,Others,Senior,Surrey,BC,95680.0,119309.0
Senior Business Analyst,Business Analyst,Evolution Mining,Full-Time,Undef,In-Person,Freeport,Senior,Red Lake,ON,63327.0,84536.0
Associate It Business Analyst,IT Analyst,Manulife,Full-Time,Database,In-Person,Insurance,Mid,Toronto,ON,59570.0,110630.0
Decision Support Analyst,Others Analyst,ErinoakKids Center for Treatment and Development,Full-Time,"Sql, Excel, Database",In-Person,Construction,ANY,Mississauga,ON,55043.0,83240.0
"Analyst, Digital Advisory Federal Government",IT Analyst,MNP,Full-Time,Excel,In-Person,Others,ANY,Ottawa,ON,40531.0,98399.0
Data-Driven Marketing Analyst,Others Analyst,Weyburn Credit Union,Full-Time,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI",In-Person,Media,ANY,Weyburn,SK,61181.0,76458.0
Fpss Quality Coordination Analyst,IT Analyst,City of Winnipeg,Full-Time,"Crystal, Excel, Database",In-Person,Government,ANY,Winnipeg,MB,41920.0,121200.0
"Analyst, Business - Computer Systems",Systems Analyst,TechVest Global Solutions Inc.,Full-Time,Undef,In-Person,Technology,ANY,Toronto,ON,105000.0,123311.0
"Business Systems Analyst 10 Yrs (Sql, Big Data, Credit Risk, Banking Loan Book, Python)",Systems Analyst,Compest Solutions Inc,Full-Time,"Sql, Big Data, Hadoop, Python, Jupyter",In-Person,Technology,ANY,Toronto,ON,104000.0,120640.0
Admn O 24R - Policy Analyst,Policy Analyst,BC Public Service,Full-Time,Eagle,In-Person,Service,ANY,Abbotsford,BC,76071.0,86658.0
"Analyst, Business Performance, Bilingual Or English",Business Analyst,Nordia,Full-Time,Undef,In-Person,Others,ANY,Laval,QC,80593.0,87605.0
Business Intelligence Specialist,Business Analyst,RAMP Technology Group Inc.,Full-Time,"Github, Aws, Sql",In-Person,Technology,Senior,Surrey,BC,95680.0,131746.0
Continuous Improvement/Business Analyst,Business Analyst,FleetOptics Inc,Full-Time,"Power Bi, Excel",In-Person,Technology,ANY,Mississauga,ON,86767.0,120679.0
Research Analyst,Research Analyst,University of Toronto,Full-Time,"Sas, Big Data, R",In-Person,Education,ANY,Toronto,ON,75223.0,96196.0
"Analyst, Transaction Management",Others Analyst,Groupe Optimum Inc.,Full-Time,Excel,In-Person,Technology,ANY,Montréal,QC,100000.0,107622.0
Business Systems Analyst (Computer Services Officer 3),Systems Analyst,Province of Nova Scotia,Full-Time,Power Platform,In-Person,Technology,ANY,Halifax,NS,69000.0,84021.0
"Business Systems Analyst, Capital Markets Technology, Derivative Products",Systems Analyst,Scotiabank,Full-Time,"Sql, Gap, Excel",In-Person,Finance,ANY,Toronto,ON,73277.0,115705.0
Business Analyst Manager,Business Analyst,Midland Transport,Full-Time,Excel,In-Person,Real Estate,ANY,Dieppe,NB,79234.0,106139.0
Senior Business Intelligence Specialist,Business Analyst,Tolko Industries Ltd.,Full-Time,"Fabric, Ssis, Sql, Databricks, Azure, Ssrs",In-Person,Industry,Senior,Vernon,BC,79500.0,106000.0
"Analyst Sr, Strategy & Business Dev.",Strategy Analyst,Bombardier,Full-Time,Undef,In-Person,Others,Senior,Dorval,QC,57325.0,102516.0
Teknaform Senior Business Analyst,Business Analyst,Teknaform Inc.,Full-Time,Excel,In-Person,Technology,Senior,Bolton,ON,90000.0,110000.0
Senior Business Analyst,Business Analyst,Ivey Business School Foundation,Full-Time,Sql,In-Person,Education,Senior,London,ON,82800.0,103500.0
Contact Center Business Analyst,Business Analyst,Global Excel Management,Full-Time,"Genesys, Excel",In-Person,Others,ANY,Sherbrooke,QC,64318.0,96834.0
Investment Reporting Analyst,Others Analyst,OMERS,Full-Time,"Power Bi, Excel, SQL",In-Person,Others,ANY,Toronto,ON,71742.0,115986.0
"Analyst, Capital Gov & Reporting",IT Analyst,EPCOR,Full-Time,"Power Bi, Excel",In-Person,Others,ANY,Edmonton,AB,107931.0,128814.0
Marketing Analyst,Others Analyst,OLIVER Agency - North America,Full-Time,"Tableau, Power Bi, Sql, Excel, Vba, Python, R",In-Person,Agency,ANY,Toronto,ON,49097.0,112237.0
"Analyst, Marketing",Others Analyst,Wipro Comnet Inc.,Full-Time,Database,In-Person,Technology,ANY,Brampton,ON,79040.0,106875.0
Project Analyst,Others Analyst,ARYZE Developments Inc.,Full-Time,Excel,In-Person,Technology,ANY,Victoria,BC,68000.0,85000.0
Business Systems Analyst,Systems Analyst,AIR TRAIN FREIGHT SYSTEMS INC,Full-Time,Undef,In-Person,Technology,ANY,Mississauga,ON,59072.0,98447.0
Pricing & Revenue Management Analyst,Others Analyst,Flair Airlines Ltd.,Full-Time,Crystal,In-Person,Others,ANY,Vancouver,BC,90911.0,112742.0
Business Analyst,Business Analyst,TC Energie,Full-Time,"Power Bi, Power Platform",In-Person,Others,ANY,Calgary,AB,80658.0,99740.0
Marketing Science Analyst,Others Analyst,Lululemon,Full-Time,"Python, Sql, Power BI, R",In-Person,Others,ANY,Vancouver,BC,105800.0,138800.0
Business Systems Analyst,Systems Analyst,STAR TECH INFOSYSTEMS LTD.,Full-Time,C,In-Person,Technology,ANY,Calgary,AB,98176.0,143107.0
Ndt Eddy Current Data Analyst - Project Manager,Data Analyst,"Acuren Inspection, Inc.",Full-Time,Undef,In-Person,Technology,ANY,Edmonton,AB,43310.0,118362.0
Accounting Analyst And Supervisor,Others Analyst,Maggas Medical Inc.,Full-Time,Excel,In-Person,Healthcare,ANY,North York,ON,50000.0,70000.0
Sr. Pricing Analyst,Others Analyst,Collins Aerospace,Full-Time,Excel,In-Person,Aerospace,Senior,Oakville,ON,97895.0,106073.0
