Job Title,Position,Company,Job Type,Skill,Work Type,Industry Type,Seniority,City,Province,Min Salary,Max Salary
Gis Analyst,Others Analyst,County of Grande Prairie No. 1,Full-Time,"Python, Sql",In-Person,Others,ANY,Clairmont,AB,94515.0,111196.0
"Dental Investigative Analyst, Fraud Risk Management",Risk Analyst,Sun Life,Full-Time,"Tableau, Html, Excel",In-Person,Insurance,ANY,Montréal,QC,43200.0,70800.0
Quality Assurance Analyst,IT Analyst,Mimigo Canada,Full-Time,"Python, Gitlab, Sql",In-Person,Others,ANY,Markham,ON,84210.0,97399.0
Business Analyst,Business Analyst,Windsor Essex Community Housing Corporation,Full-Time,"Sql, Power BI, Excel, Power Bi",In-Person,Technology,ANY,Windsor,ON,57200.0,78000.0
Digital Optimization Analyst,IT Analyst,Athabasca University,Full-Time,"Tableau, Power BI, Looker",Remote,Education,ANY,Athabasca,AB,67450.0,97437.0
Grid Operations Advisor (Business Analyst) | Ontario,Business Analyst,The Mosaic Company,Full-Time,Excel,In-Person,Others,ANY,Barrie,ON,91674.0,104047.0
Senior Strategic Business Analyst,Business Analyst,Alberta Pensions Services Corporation (APS),Full-Time,Reason,In-Person,Service,Senior,Edmonton,AB,77335.0,113793.0
Senior Business Analyst (Halifax),Business Analyst,Mariner Innovations,Full-Time,Gap,In-Person,Others,Senior,Halifax,NS,77847.0,82158.0
Business Analyst,Business Analyst,Infosys,Full-Time,"Tableau, Power BI, Sql, Excel, Jira",In-Person,Others,ANY,Calgary,AB,92701.0,107185.0
Facility Asset Management Data Analyst,Data Analyst,City of Edmonton,Full-Time,Excel,In-Person,Government,ANY,Edmonton,AB,85633.0,106995.0
Quality Assurance Analyst,IT Analyst,Bombardier,Full-Time,Excel,In-Person,Others,ANY,Dorval,QC,70249.0,170145.0
Business Intelligence Analyst - Information Technology (It),IT Analyst,Speerville Flour Mill Inc,Full-Time,"Tableau, Sql, Power Bi, Python, R",In-Person,Technology,ANY,Speerville,NB,51332.0,109672.0
It (Information Technology) Business Analyst,IT Analyst,ACCELARIS GROUP INC,Full-Time,Undef,In-Person,Technology,ANY,Mississauga,ON,91520.0,141728.0
"Analyst, Quality Assurance",IT Analyst,Government of Alberta,Full-Time,Scss,In-Person,Government,ANY,Edmonton,AB,61208.0,80291.0
Business Systems Analyst,Systems Analyst,MGK INFO TECH INC,Full-Time,Undef,In-Person,Technology,ANY,Hamilton,ON,95680.0,101191.0
Temporary Senior Analyst - Gis Planning - Jws (35 Hrs),Others Analyst,Halton District School Board,Full-Time,"C#, Excel, R, Database",In-Person,Education,Senior,Burlington,ON,12480.0,103064.0
"Analyst/Administrative Assistant, Clinical Informatics",Others Analyst,Vancouver Coastal Health,Full-Time,"Excel, Database",In-Person,Healthcare,ANY,Vancouver,BC,60964.0,80017.0
Pricing Analyst,Others Analyst,Alliance Door Products,Full-Time,Excel,In-Person,Others,ANY,Edmonton,AB,73957.0,80384.0
Lmr System Performance Analyst,Systems Analyst,Government of Alberta,Full-Time,"Database, Sybase, SQL, Sql",In-Person,Government,ANY,St. Albert,AB,59713.0,89212.0
Reforestation Standard Analyst,Others Analyst,Government of Alberta,Full-Time,"Excel, R",In-Person,Government,ANY,Edmonton,AB,68049.0,87547.0
Workday Consultant & Analyst,Data Consultant,EllisDon Corporation,Full-Time,"C#, Excel",In-Person,Technology,ANY,Mississauga,ON,65175.0,69261.0
Sr. Business Analyst,Business Analyst,Transatlantic Business Consulting Inc.,Full-Time,Undef,In-Person,Technology,Senior,Ottawa,ON,166400.0,208000.0
"Senior Data System Analyst ( Snowflake, Hadoop, Etl , Informatica)",Systems Analyst,Atlantis IT group,Full-Time,"Hadoop, Informatica, Snowflake, Postgresql, Aws, Sql, Qliksense, Scala, Big Data, Shell, Sas, Teradata, Python",In-Person,Technology,Senior,Markham,ON,49703.0,71049.0
Sr Portfolio Analyst,Others Analyst,Rogers Communications,Full-Time,"Power BI, Jira, Excel",In-Person,Media,Senior,Brampton,ON,89468.0,108027.0
"Analyst Senior, Strategy & Business Development",Strategy Analyst,Bombardier,Full-Time,Undef,In-Person,Others,Senior,Dorval,QC,65534.0,151050.0
"Senior Analyst, Credit Risk - Digital Banking",IT Analyst,Questrade Financial Group,Full-Time,"Power Bi, Sql, Python, Machine Learning, Sas",In-Person,Finance,Senior,Toronto,ON,84745.0,87049.0
Pricing Analyst,Others Analyst,Alliance Door Products,Full-Time,Excel,In-Person,Others,ANY,St. Thomas,ON,42798.0,117576.0
Investor Relations Analyst,Others Analyst,Clairvest,Full-Time,"Power BI, Excel",In-Person,Others,ANY,Toronto,ON,40935.0,61069.0
Business Analyst,Business Analyst,Softline Technology,Full-Time,Database,In-Person,Technology,ANY,Toronto,ON,78897.0,83556.0
Business Technology Analyst,Business Analyst,Dawson Group,Full-Time,"Tableau, Power Platform, Excel, Power Bi, C#, Python, Javascript",In-Person,Others,ANY,Kamloops,BC,65000.0,78000.0
"Senior Business Analyst, Technology Architecture",IT Analyst,CIBC,Full-Time,Undef,In-Person,Others,Senior,Toronto,ON,71376.0,92530.0
"Business Analyst, Commercial Services (Commercial Banking Analyst)",Business Analyst,FirstOntario Credit Union,Full-Time,Undef,In-Person,Media,ANY,St. Catharines,ON,41534.0,102413.0
Engagement And Research Analyst,Research Analyst,City of Calgary,Full-Time,Excel,In-Person,Government,ANY,Calgary,AB,85862.0,114774.0
Software Engineer Ii - Speech Analyst,Data Engineer,TD Bank,Full-Time,"Jira, Confluence, Machine Learning",In-Person,Finance,ANY,West,ON,110483.0,128715.0
Senior Business Analyst,Business Analyst,MUFG Investor Services,Full-Time,Excel,In-Person,Service,Senior,Halifax,NS,74028.0,145304.0
Client Support Analyst,Others Analyst,Edgecom Energy,Full-Time,Undef,In-Person,Energy,ANY,North York,ON,55000.0,58000.0
Credit Analyst - Business Banking,IT Analyst,BMO Financial Group,Full-Time,Undef,In-Person,Finance,ANY,Laval,QC,54500.0,101500.0
Sr. Business Analyst – Liquidity Reporting,IT Analyst,CGI,Full-Time,Undef,In-Person,Others,Senior,Toronto,ON,63507.0,87374.0
Institutional Analyst,IT Analyst,Royal Bank of Canada,Full-Time,Excel,In-Person,Finance,ANY,Vancouver,BC,80000.0,116451.0
"Senior Analyst, Clinical Administrative Databases",Database Analyst,Canadian Institute for Health Information,Full-Time,"Sas, Python, R, Database, Excel",In-Person,Healthcare,Senior,Ottawa,ON,42121.0,122692.0
Senior Business Analyst,Business Analyst,MUFG Investor Services,Full-Time,Excel,In-Person,Service,Senior,Toronto,ON,89864.0,102403.0
Market Research Analyst,Research Analyst,Oppein Cabinetry,Full-Time,Undef,In-Person,Others,ANY,Etobicoke,ON,96928.0,147305.0
Business Analyst 0149-3010,Business Analyst,Foilcon,Full-Time,"Azure, Gap",In-Person,Others,ANY,Toronto,ON,58892.0,77943.0
Logistics Analyst,Logistic Analyst,Chemtrade,Full-Time,Excel,In-Person,Others,ANY,Toronto,ON,59000.0,70000.0
"Analyst, Supply Chain Replenishment",AI Analyst,Loblaw Companies Limited,Full-Time,Excel,In-Person,Others,ANY,Toronto,ON,49902.0,100638.0
Research Analyst Student (Ras-0724-T),Research Analyst,New Path Youth and Family Services,Full-Time,"Power BI, Spss, Database, Excel",In-Person,Service,ANY,Barrie,ON,41620.0,46841.0
"Senior Analyst, Global Compliance & Aml Reporting",Others Analyst,Scotiabank,Full-Time,"Power BI, Excel",In-Person,Finance,Senior,Toronto,ON,39929.0,43086.0
Hse Analyst,Others Analyst,Western Energy Services,Full-Time,"Excel, Database, Eagle",In-Person,Service,ANY,Calgary,AB,78191.0,123036.0
Benefits Hr Analyst,IT Analyst,City of Brampton,Full-Time,Undef,In-Person,Government,ANY,Brampton,ON,86091.0,107614.0
"Business Analyst, Budget & Internal Reporting",Business Analyst,MEG Energy,Part-Time,Excel,In-Person,Energy,Junior,Calgary,AB,88812.0,108163.0
Business Intelligence Analyst - Information Technology (It),IT Analyst,Speerville Flour Mill Inc,Full-Time,"Sql, Big Data, Machine Learning, Javascript",In-Person,Technology,ANY,Speerville,NB,52000.0,62400.0
Analyste Spécialisé En Informatique - Cybersécurité/ Specialized Data Analyst,Data Analyst,Ungava Tulattavik Health Center,Full-Time,Notion,In-Person,Healthcare,ANY,Quebec City,QC,71800.0,78580.0
Senior Pricing Analyst,Others Analyst,LifeWorks,Full-Time,Undef,In-Person,Insurance,Senior,Toronto,ON,44665.0,80535.0
Pipe Integrity Analyst (Daytime Support),IT Analyst,DarkVision,Full-Time,Undef,In-Person,Others,ANY,Vancouver,BC,62400.0,79040.0
Work Integrated Learning Systems Analyst,Systems Analyst,SAIT,Full-Time,"Tableau, Power BI, Sql, Database",In-Person,Technology,ANY,Calgary,AB,70000.0,82000.0
Senior Front Office Business Analyst With Metals Trading Background,IT Analyst,Exadel Inc,Full-Time,Undef,In-Person,Technology,Senior,Toronto,ON,88470.0,98976.0
Sap Master Data Analyst,Data Analyst,Riverside Natural Foods Ltd.,Full-Time,Gap,In-Person,Others,ANY,Toronto,ON,112861.0,133003.0
Pay And Benefits Analyst,IT Analyst,BC Assessment,Full-Time,Undef,In-Person,Others,ANY,Victoria,BC,65466.0,76927.0
Senior Analyst - Superior Gas Liquids,Others Analyst,Superior Propane Careers,Full-Time,"Power Bi, Excel, Sql, Excel",In-Person,Others,Senior,Calgary,AB,85712.0,133996.0
Business Analyst Staff,Business Analyst,NORSAT INTERNATIONAL INC,Full-Time,"Power Bi, Excel, Sql, Database",In-Person,Technology,ANY,Richmond,BC,38000.0,48000.0
S - Senior It Business Analyst (Vancouver),IT Analyst,Lantic Inc.,Full-Time,"Tableau, Power BI",In-Person,Technology,Senior,Vancouver,BC,106945.0,114368.0
Analyst Operational Assessments Mti,Others Analyst,Independent Electricity System Operator (IESO),Full-Time,Database,In-Person,Government,ANY,Mississauga,ON,112490.0,119248.0
Capital Planning Analyst (Contract),IT Analyst,BGIS,Part-Time,Fabric,In-Person,Others,ANY,Markham,ON,91616.0,93633.0
Accounting Analyst (Transportation),Others Analyst,Pival,Full-Time,Excel,In-Person,Others,ANY,Kirkland,QC,83325.0,92618.0
Systems Analyst Ii,Systems Analyst,University of British Columbia,Full-Time,"Azure, Database, Html, Crystal, Php, Mysql, SQL, Puppet, Powershell, Java, Asp, Javascript",In-Person,Education,ANY,Vancouver,BC,99660.0,155427.0
Senior Continuous Improvement Analyst (People And Culture) (Telework/Hybrid),Others Analyst,CBC/Radio-Canada,Full-Time,Undef,Remote,Others,Senior,Ottawa,ON,67914.0,81584.0
"Analyst, Cloud Cost Management-Hybrid",Others Analyst,Alberta Energy Regulator,Full-Time,"Azure, Power BI, Database",Hybrid,Energy,ANY,Calgary,AB,74242.0,92803.0
Business Analyst 7746-0215,Business Analyst,Foilcon,Full-Time,Database,In-Person,Others,ANY,Toronto,ON,72536.0,132694.0
Senior It Business Analyst,IT Analyst,Spark Power,Full-Time,Oracle Cloud,In-Person,Energy,Senior,Oakville,ON,59432.0,103925.0
M365 Development & Collaboration Solutions Business Analyst [Oneit],IT Analyst,WSP,Full-Time,"Power Bi, Excel",In-Person,Others,ANY,Montréal,QC,76309.0,79203.0
Wellbeing And Rewards Analyst,Others Analyst,Securian Canada,Full-Time,"Smartsheet, Excel",In-Person,Others,ANY,Toronto,ON,90133.0,112969.0
Business Systems Analyst - Systems Trainer,Systems Analyst,PCL Construction,Full-Time,Undef,In-Person,Construction,ANY,Edmonton,AB,76461.0,84761.0
Planning Analyst And Performance Executive,Others Analyst,OSL Retail Services Inc,Full-Time,Excel,In-Person,Service,ANY,Montréal,QC,95000.0,105000.0
Business Systems Analyst,Systems Analyst,Blend Technologies Ltd.,Full-Time,C,In-Person,Technology,ANY,Calgary,AB,98176.0,111309.0
Systems Reliability Analyst (Sra),Systems Analyst,Scotiabank,Full-Time,"Power Bi, Big Data, Excel",In-Person,Finance,Senior,Toronto,ON,88983.0,99052.0
Sap S4/Hana Master Data Analyst (12-Month Contract),Data Analyst,Riverside Natural Foods Ltd.,Part-Time,Gap,In-Person,Others,ANY,Toronto,ON,70683.0,75165.0
Risk & Payments Data Analyst/Analyste De Données Risques & Paiements,Data Analyst,Plusgrade,Full-Time,"Excel, Tableau, Sql, Alteryx, Python, Github, C#, Snowflake, Database",In-Person,Others,ANY,Montréal,QC,62704.0,118172.0
"Senior Business Systems Analyst, Gft",Systems Analyst,Royal Bank of Canada,Full-Time,"Sql, Database, Excel",In-Person,Finance,Senior,Toronto,ON,49191.0,106349.0
Program Admin Officer 4 (Senior Analyst),Others Analyst,Province of Nova Scotia,Full-Time,Undef,In-Person,Technology,Senior,Halifax,NS,74571.0,87583.0
Supply Chain Replenishment Analyst,AI Analyst,Specialty Health Network Inc.,Full-Time,Excel,In-Person,Healthcare,ANY,Mississauga,ON,90300.0,104198.0
Business Systems Analyst (Enterprise Applications),Systems Analyst,City of London,Full-Time,"Html, Css, Power BI, Ssrs",In-Person,Government,ANY,London,ON,58649.0,85218.0
Scrum Master Bi,Others Analyst,Business Development Bank of Canada,Full-Time,Azure,In-Person,Finance,ANY,Montréal,QC,68217.0,142364.0
Mainframe Business Systems Analyst,Systems Analyst,TV2 Consulting,Full-Time,Sas,In-Person,Consulting,ANY,Saint John,NB,55580.0,56247.0
"Senior Business Systems Analyst, Gft",Systems Analyst,Royal Bank of Canada,Full-Time,"Sql, Big Data, Excel, Hadoop, Python, Jupyter",In-Person,Finance,Senior,Halifax,NS,68313.0,131940.0
Business Process Analyst - Dc & Ai,AI Analyst,AltaLink,Full-Time,"C#, Excel, Azure, Database",In-Person,Others,ANY,Calgary,AB,71000.0,94000.0
Intelligent Automation Analyst - Mandatory Bilingual. Must Speak French,Others Analyst,GoAutomate,Full-Time,"Javascript, Javascript",In-Person,Others,ANY,Etobicoke,ON,35000.0,84000.0
Trade Marketing Analyst,Others Analyst,Nature Fresh Farms Inc,Full-Time,Excel,In-Person,Technology,ANY,Leamington,ON,80601.0,145178.0
Cost Accounting Analyst,Others Analyst,Weir Group,Full-Time,Excel,In-Person,Others,ANY,Surrey,BC,90000.0,100000.0
Physician Compensation Analyst,Others Analyst,Interior Health Authority,Full-Time,Undef,In-Person,Healthcare,ANY,Kelowna,BC,79601.0,109470.0
"It Senior Business Analyst, Scheduling & Distribution (T & I) (Hybrid)",IT Analyst,CBC/Radio-Canada,Full-Time,Jira,Hybrid,Others,Senior,Montréal,QC,76510.0,95776.0
Energy Systems Operation Analyst,Systems Analyst,Renteknik Group Inc.,Full-Time,"Excel, C",In-Person,Technology,ANY,Burlington,ON,66664.0,85615.0
"Bilingual Policy Analyst, Early Learning And Elementary-Secondary Education",Policy Analyst,"CMEC Council Of Ministers of Education, Canada",Full-Time,Undef,In-Person,Education,ANY,Toronto,ON,64513.0,90181.0
Payroll Analyst,Payroll Analyst,Peterborough Regional Health Centre,Full-Time,"Excel, Excel",In-Person,Healthcare,ANY,Peterborough,ON,78478.0,98092.0
Analyste Multidisciplinaire En Mécanique / Multi-Disciplinary Mechanical Analyst,AI Analyst,Pratt & Whitney,Full-Time,"C#, Matlab, Assembly",In-Person,Others,ANY,Longueuil,QC,61306.0,99665.0
Commercial Analyst,Others Analyst,Ebury,Full-Time,Excel,In-Person,Others,ANY,Toronto,ON,60393.0,116877.0
"Sr Analyst, Actuarial- Personal Insurance Pricing",Others Analyst,Definity Financial Corporation,Full-Time,"Sas, Vba, Excel, Database",In-Person,Technology,Senior,Waterloo,ON,69800.0,140400.0
Business Systems Analyst,Systems Analyst,Web Infomatic Services Ltd,Full-Time,C,In-Person,Service,ANY,Calgary,AB,98176.0,127468.0
Accounts Receivable Analyst,Others Analyst,Niche Bakers Corp,Full-Time,Excel,In-Person,Others,ANY,Etobicoke,ON,52188.0,133788.0
Trade Marketing Analyst,Others Analyst,Reckitt,Full-Time,Undef,In-Person,Others,ANY,Toronto,ON,60668.0,93323.0
Senior Servicing Analyst,Others Analyst,BMO Financial Group,Full-Time,Undef,In-Person,Finance,Senior,Montréal,QC,44500.0,82500.0
Développeur-Analyste Power Bi,Others Analyst,Airmedic,Full-Time,"Power Bi, Sql, Azure, Power BI, Ssis, Sqlserver, .Net",In-Person,Healthcare,ANY,Longueuil,QC,133217.0,153454.0
Registered Behaviour Analyst (Rba),Others Analyst,Barrantes & Associates Inc.,Full-Time,Undef,In-Person,Technology,ANY,Guelph,ON,70000.0,75000.0
"Compensation Consulting Analyst - People Advisory Services, Rewards - Toronto",Others Analyst,EY,Full-Time,Excel,In-Person,Others,ANY,Toronto,ON,33008.0,106772.0
Logistic & Distribution Analyst,Logistic Analyst,CCM Hockey,Full-Time,Undef,In-Person,Others,ANY,Montréal,QC,75908.0,110105.0
"Operations Analyst, Business Lending - 2 Year Term Opportunity",IT Analyst,ATB Financial,Full-Time,Jira,In-Person,Finance,ANY,Calgary,AB,65019.0,129026.0
Logistic & Distribution Analyst,Logistic Analyst,CCM Hockey,Full-Time,Undef,In-Person,Others,ANY,Saint-Jean-sur-Richelieu,QC,56877.0,80611.0
"Actuarial Analyst, Commercial Insurance - Pricing",Others Analyst,Definity Financial Corporation,Full-Time,"Excel, Sas, Vba, C#, Python, R",In-Person,Technology,ANY,Toronto,ON,52300.0,103300.0
Business System Analyst - Sap Fico,Systems Analyst,Riverside Natural Foods Ltd.,Full-Time,Gap,In-Person,Others,ANY,Toronto,ON,101553.0,115774.0
Senior Tax Analyst,Others Analyst,North American Construction Group Inc.,Full-Time,Excel,In-Person,Technology,Senior,Acheson,AB,53837.0,125655.0
"Intermediate Actuarial Analyst, Commercial Insurance Pricing",Others Analyst,Definity Financial Corporation,Full-Time,"Excel, Sas, Vba, C#, Python, R",In-Person,Technology,Mid,Toronto,ON,59400.0,118100.0
Business Analyst Position (Remote),IT Analyst,Saint Laurent Consulting,Full-Time,"Power Bi, Excel",Remote,Consulting,ANY,Remote,Undef,87776.0,92956.0
"Associate Pm/Business Analyst (Open To North, Central, And South America)",Business Analyst,Function Health,Full-Time,"Sql, Python, Tableau, Swift, Machine Learning, Aws, Confluence, Excel, Gap, Power Bi, Jira",Remote,Healthcare,Mid,Remote,Undef,94100.0,107728.0
Information And Data Management Advisor/Analyst/Officer,Others Analyst,CNSC/CCSN,Full-Time,Undef,In-Person,Others,ANY,Ottawa,ON,89978.0,93912.0
Data Analyst,Data Analyst,Cabela's,Full-Time,"Sql, Power Bi, Python, Visual Basic, Excel, Google Cloud Platform",In-Person,Others,ANY,Winnipeg,MB,58000.0,116564.0
Data Analyst,Data Analyst,Value Partners Investments,Full-Time,"Power Bi, Fabric, Tableau, Sql, Gap, Python, R",In-Person,Finance,ANY,Winnipeg,MB,106763.0,145339.0
"Analyst, Business Intelligence",Business Analyst,Vancouver Whitecaps FC,Full-Time,"Sql, Tableau, Power BI, Excel",In-Person,Technology,ANY,Vancouver,BC,70000.0,80000.0
Senior Data Analyst,Data Analyst,Canadian Tire Corporation,Full-Time,"Aws, Sql, Big Data, Snowflake, Hadoop, Azure, Python",In-Person,Technology,Senior,Oakville,ON,82654.0,86756.0
"Specialist, Business Intelligence Data Warehouse",Business Analyst,Island Health,Full-Time,"Database, Sql",In-Person,Healthcare,Senior,Victoria,BC,94931.0,136448.0
Business Analyst,Business Analyst,The Minto Group,Full-Time,"Power Bi, Excel, Sql",In-Person,Others,ANY,Ottawa,ON,69631.0,137670.0
"Senior Data Analyst, Pricing And Finance",Data Analyst,ServiceTitan,Full-Time,"Tableau, Sql, Big Data, Excel, Apache Airflow",Remote,Service,Senior,Remote,Undef,20000.0,154000.0
Business Data Analyst,Data Analyst,Scotiabank,Full-Time,"Big Data, Sql, Excel, Gap, Big Data",In-Person,Finance,ANY,Toronto,ON,75237.0,97031.0
Senior Business Data Analyst,Data Analyst,Ontario Securities Commission,Full-Time,"Tableau, Crystal, Sql, Gap, Python, R",In-Person,Others,Senior,Toronto,ON,95888.0,151824.0
Business Analyst,Business Analyst,Porter Airlines Inc.,Full-Time,Excel,In-Person,Technology,ANY,Toronto,ON,100997.0,123108.0
Data Analyst - Informatics And Systems,Data Analyst,Systematic Squad Inc.,Full-Time,Database,In-Person,Technology,ANY,Calgary,AB,62400.0,92688.0
Business Systems Analyst,Systems Analyst,Delbridge Solutions Inc.,Full-Time,Sql,In-Person,Technology,ANY,Concord,ON,142392.0,187475.0
"Capacity Planning Analyst, Workforce Management",IT Analyst,Sun Life,Full-Time,"Tableau, Genesys, Sql",In-Person,Insurance,ANY,North York,ON,54300.0,88300.0
"Risk Analyst, Third Party Risk Management",Risk Analyst,Aviva,Full-Time,Excel,In-Person,Others,ANY,Markham,ON,69054.0,97657.0
"Business And Quality Assurance Analyst, Scotiabank",IT Analyst,Scotiabank,Full-Time,Undef,In-Person,Finance,ANY,Toronto,ON,51527.0,62261.0
"Capacity Planning Analyst, Workforce Management",IT Analyst,Sun Life,Full-Time,"Tableau, Genesys, Sql",In-Person,Insurance,ANY,Waterloo,ON,54300.0,88300.0
"Analyst, Marketing Analytics",Others Analyst,Klick Health,Full-Time,"Tableau, Sql, Database",In-Person,Healthcare,ANY,Toronto,ON,68974.0,83229.0
Hr Servicenow Analyst,Others Analyst,Ledcor,Full-Time,"Excel, Database",In-Person,Others,ANY,Calgary,AB,95788.0,131415.0
Hr Servicenow Analyst,Others Analyst,Ledcor,Full-Time,"Excel, Database",In-Person,Others,ANY,Edmonton,AB,65835.0,105175.0
Strategic Risk Growth Analyst,Risk Analyst,Vault Credit Corporation,Full-Time,Undef,In-Person,Technology,ANY,Toronto,ON,41885.0,90506.0
"Analyst Ii, Credit Analytics, Full Stack",IT Analyst,Affirm,Full-Time,"Machine Learning, Python, Sql",Remote,Others,ANY,Toronto,ON,109000.0,159000.0
"Windsor Police Service - Systems Analyst, Business Solutions",Systems Analyst,City of Windsor,Full-Time,"Database, Sql, SQL, Shell, C#, Python, Javascript",In-Person,Government,ANY,Windsor,ON,108000.0,118056.0
Sr. Business Analyst,Business Analyst,Electronic Arts,Full-Time,"Tableau, Aws, Sql, Azure, Power Bi, Looker, Database",In-Person,Others,Senior,Vancouver,BC,89300.0,123000.0
Business Analyst,Business Analyst,MGIS,Full-Time,Undef,In-Person,Others,ANY,Ottawa,ON,42840.0,88828.0
Hr Servicenow Analyst,Others Analyst,Ledcor,Full-Time,"Excel, Database",In-Person,Others,ANY,Vancouver,BC,90775.0,105263.0
Asset Investment Analyst,Others Analyst,Toronto Hydro,Full-Time,"Tableau, Machine Learning, Sql, Excel, Alteryx, Vba",In-Person,Others,ANY,Toronto,ON,103033.0,149211.0
Research Analyst 1,Research Analyst,City of Toronto,Full-Time,Excel,In-Person,Government,ANY,Toronto,ON,90646.0,99320.0
Merchandise Analyst,Others Analyst,Circle K,Full-Time,Excel,In-Person,Others,ANY,Toronto,ON,57773.0,91537.0
Risk Analyst,Risk Analyst,goeasy,Full-Time,"Sas, Sql",In-Person,Others,ANY,Mississauga,ON,74276.0,89081.0
"Analyst, Reliability",IT Analyst,Porter Airlines Inc.,Full-Time,"Tableau, Excel, R",In-Person,Technology,ANY,Toronto,ON,76623.0,103920.0
Business Intelligence Specialist Analytics (With Qlik Experience),IT Analyst,CAA Club Group,Full-Time,"Sql, Power BI, Ssrs, Qliksense, Big Data, SQL, Excel, Qlik Sense, Database",In-Person,Others,Senior,Thornhill,ON,113143.0,135607.0
"Portfolio Management Analyst, Quantitative Equity",IT Analyst,"Connor, Clark & Lunn Financial Group",Full-Time,Excel,In-Person,Finance,ANY,Vancouver,BC,90000.0,180000.0
Business Analyst,Business Analyst,Energy Safety Canada,Full-Time,"Database, Html",In-Person,Energy,ANY,Calgary,AB,41178.0,142082.0
Business Analyst,Business Analyst,Bayshore HealthCare,Full-Time,"Power Bi, Jira, Miro",In-Person,Healthcare,ANY,Mississauga,ON,53724.0,80740.0
Data Analyst - Informatics And Systems,Data Analyst,SULYMON GLOBAL INC.,Full-Time,"Database, Python, Sql",In-Person,Technology,ANY,North York,ON,90480.0,132009.0
Chief Functional And Data Analyst,Data Analyst,National Bank of Canada,Full-Time,"Aws, Confluence, Github, Java, Lucidchart, Jira",In-Person,Finance,ANY,Montréal,QC,75705.0,128899.0
"Functional Analyst, Process Improvement",Others Analyst,Vancouver Coastal Health,Full-Time,Undef,In-Person,Healthcare,ANY,Vancouver,BC,79310.0,114025.0
Emr Analyst,Others Analyst,Medicentres Canada Inc.,Full-Time,Undef,In-Person,Healthcare,ANY,Newmarket,ON,53729.0,95199.0
Business Process Analyst,Business Analyst,ENERCARE,Full-Time,"Excel, Tableau, Sql, Gap, Power Bi",In-Person,Others,ANY,Markham,ON,32008.0,64775.0
Business Analyst Intern/Junior,Business Analyst,NORSAT INTERNATIONAL INC,Part-Time,"Power Bi, Excel, Sql, Database",In-Person,Technology,Junior,Richmond,BC,90013.0,102826.0
Customer Solution Analyst,Others Analyst,McCain Foods Limited,Full-Time,Power Bi,In-Person,Others,ANY,Toronto,ON,99086.0,109724.0
"It Business Analyst, Intact Lab",IT Analyst,Intact,Full-Time,"Machine Learning, Jira, Confluence",In-Person,Others,ANY,Montréal,QC,71924.0,148582.0
Pricing Analyst,Others Analyst,Alliance Door Products,Full-Time,Excel,In-Person,Others,ANY,Abbotsford,BC,65294.0,73165.0
Business Support Systems Analyst,Systems Analyst,Eastlink,Full-Time,Undef,In-Person,Others,ANY,Halifax,NS,66867.0,103608.0
Senior Business Analyst,Business Analyst,"Taro Pharmaceuticals INC, Canada",Full-Time,Excel,In-Person,Healthcare,Senior,Brampton,ON,75085.0,120220.0
Marketing Data Analyst,Data Analyst,Triumph Well Services,Full-Time,Undef,In-Person,Service,ANY,Calgary,AB,104000.0,116499.0
Asset Investment Analyst,Others Analyst,Toronto Hydro,Full-Time,"Database, Database, Tableau, Sql, Alteryx, Python, R",In-Person,Others,ANY,Toronto,ON,48395.0,60901.0
Business Intelligence & Analytics Student-Fall 2024 Co-Op,Business Analyst,Irving Shipbuilding,Full-Time,Excel,In-Person,Others,ANY,Dartmouth,NS,62907.0,96396.0
"Sr. Analyst, Business Intelligence",Business Analyst,Gildan Activewear Inc,Full-Time,"Tableau, Sql, Snowflake, Qlikview, Talend",In-Person,Technology,Senior,Montréal,QC,61779.0,93538.0
Data Warehouse Analyst,Others Analyst,VISAY TECHNOLOGIES INC,Full-Time,Database,In-Person,Technology,ANY,Edmonton,AB,87464.0,123436.0
Senior Compensation Analyst,Others Analyst,ServiceTitan,Full-Time,Excel,Remote,Service,Senior,Remote,Undef,20000.0,139000.0
Risk & Audit Analyst,IT Analyst,University of Manitoba,Full-Time,Undef,In-Person,Education,ANY,Winnipeg,MB,64731.0,97097.0
Product Support Analyst - Database And Etl,Database Analyst,Copperleaf Technologies Inc.,Full-Time,"Aws, Sql, Oracle Database, Database, Database, Reason",In-Person,Technology,ANY,Metro Vancouver Regional District,BC,85000.0,110000.0
Operations Analyst,Others Analyst,Tim Hortons | Company #4020653,Full-Time,"Sas, Fabric, Excel",In-Person,Others,ANY,London,ON,97962.0,98433.0
Programs Data Analyst,Data Analyst,Owen Sound Family Health Team,Full-Time,Database,In-Person,Healthcare,ANY,Owen Sound,ON,45344.0,49212.0
Business System Analyst,Systems Analyst,UST Global,Full-Time,"Sql, Excel",In-Person,Others,ANY,Toronto,ON,58284.0,162540.0
Bsan-Business Systems Analyst,Systems Analyst,Lifemark Health Group,Full-Time,"Confluence, Excel, Gap, Azure, Jira",In-Person,Healthcare,ANY,North York,ON,91936.0,113912.0
Hrt Applications Business Analyst,Business Analyst,Vail Resorts Corporate,Full-Time,"C#, Excel, Sql, Database",Remote,Others,ANY,Remote,Undef,70000.0,87110.0
Data And Policy Analyst Ii,Policy Analyst,City of Edmonton,Full-Time,Database,In-Person,Government,ANY,Edmonton,AB,101435.0,128175.0
